Reporte de Detección de Vehículos

ID: 4067, Nombre: lluvia18.jpg, Ubicación: uploads\lluvia18.jpg, Tipo: automovil, Confianza: 46.27%, Fecha/Hora: 2025-01-12 10:22:17.417094, Tiempo: 0.545803s
ID: 4068, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 96.58%, Fecha/Hora: 2025-01-12 10:23:45.014030, Tiempo: 0.171922s
ID: 4069, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 87.58%, Fecha/Hora: 2025-01-12 10:23:45.018026, Tiempo: 0.171922s
ID: 4070, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 82.28%, Fecha/Hora: 2025-01-12 10:23:45.020025, Tiempo: 0.171922s
ID: 4071, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 49.59%, Fecha/Hora: 2025-01-12 10:23:45.021025, Tiempo: 0.171922s
ID: 4072, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 96.58%, Fecha/Hora: 2025-01-12 10:23:45.190920, Tiempo: 0.348813s
ID: 4073, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 87.58%, Fecha/Hora: 2025-01-12 10:23:45.192919, Tiempo: 0.348813s
ID: 4074, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 82.28%, Fecha/Hora: 2025-01-12 10:23:45.193918, Tiempo: 0.348813s
ID: 4075, Nombre: lluvia17.jpg, Ubicación: uploads\lluvia17.jpg, Tipo: automovil, Confianza: 49.59%, Fecha/Hora: 2025-01-12 10:23:45.195916, Tiempo: 0.348813s
ID: 4076, Nombre: lluvia25.jpg, Ubicación: uploads\lluvia25.jpg, Tipo: furgoneta, Confianza: 97.05%, Fecha/Hora: 2025-01-12 10:26:31.475832, Tiempo: 0.204874s
ID: 4077, Nombre: lluvia25.jpg, Ubicación: uploads\lluvia25.jpg, Tipo: automovil, Confianza: 91.67%, Fecha/Hora: 2025-01-12 10:26:31.477831, Tiempo: 0.204874s
ID: 4078, Nombre: lluvia25.jpg, Ubicación: uploads\lluvia25.jpg, Tipo: automovil, Confianza: 41.82%, Fecha/Hora: 2025-01-12 10:26:31.479830, Tiempo: 0.204874s
ID: 4079, Nombre: lluvia25.jpg, Ubicación: uploads\lluvia25.jpg, Tipo: furgoneta, Confianza: 97.05%, Fecha/Hora: 2025-01-12 10:26:31.651725, Tiempo: 0.379767s
ID: 4080, Nombre: lluvia25.jpg, Ubicación: uploads\lluvia25.jpg, Tipo: automovil, Confianza: 91.67%, Fecha/Hora: 2025-01-12 10:26:31.653722, Tiempo: 0.379767s
ID: 4081, Nombre: lluvia25.jpg, Ubicación: uploads\lluvia25.jpg, Tipo: automovil, Confianza: 41.82%, Fecha/Hora: 2025-01-12 10:26:31.654722, Tiempo: 0.379767s
ID: 4082, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 94.73%, Fecha/Hora: 2025-01-12 10:27:31.748107, Tiempo: 0.189882s
ID: 4083, Nombre: lluvia24.jpg, Ubicación: uploads\lluvia24.jpg, Tipo: automovil, Confianza: 89.93%, Fecha/Hora: 2025-01-12 10:27:31.750106, Tiempo: 0.189882s
