Reporte de Detección de Vehículos

ID: VF-99, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 45.80%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-100, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 25.62%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-101, Nombre: VideoStream, Ubicación: Desconocido, Tipo: bus, Confianza: 27.07%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-102, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 43.22%, Fecha/Hora: 24/1/2025 5:51:33, Tiempo: N/As
ID: VF-103, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 72.25%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-104, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 85.28%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-105, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 71.74%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-106, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 38.27%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-107, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 83.19%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-108, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 36.65%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-109, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 25.04%, Fecha/Hora: 24/1/2025 5:51:34, Tiempo: N/As
ID: VF-110, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 83.57%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-111, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 47.10%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-112, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 40.76%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-113, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 83.63%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-114, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 58.85%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-115, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 85.10%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-116, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 71.89%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-117, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 66.45%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-118, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 93.41%, Fecha/Hora: 24/1/2025 5:51:35, Tiempo: N/As
ID: VF-119, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 71.11%, Fecha/Hora: 24/1/2025 5:51:36, Tiempo: N/As
ID: VF-120, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 28.10%, Fecha/Hora: 24/1/2025 5:51:36, Tiempo: N/As
ID: VF-121, Nombre: VideoStream, Ubicación: Desconocido, Tipo: furgoneta, Confianza: 30.83%, Fecha/Hora: 24/1/2025 5:51:36, Tiempo: N/As
ID: VF-122, Nombre: VideoStream, Ubicación: Desconocido, Tipo: automovil, Confianza: 90.90%, Fecha/Hora: 24/1/2025 5:51:36, Tiempo: N/As
