Reporte de Detección de Vehículos

ID: 94, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 87.13%, Fecha/Hora: 26/1/2025 10:31:49, Tiempo: 14.33 ss
ID: 95, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 27.28%, Fecha/Hora: 26/1/2025 10:31:49, Tiempo: 14.33 ss
ID: 96, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 84.26%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 14.50 ss
ID: 97, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 60.25%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 14.50 ss
ID: 98, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 58.07%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 14.50 ss
ID: 99, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 28.38%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 14.50 ss
ID: 100, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 96.53%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 14.83 ss
ID: 101, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: bus, Confianza: 29.78%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 15.01 ss
ID: 102, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 32.23%, Fecha/Hora: 26/1/2025 10:31:50, Tiempo: 15.26 ss
ID: 103, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 52.94%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 15.43 ss
ID: 104, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 52.93%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 15.43 ss
ID: 105, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 31.77%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 15.43 ss
ID: 106, Nombre: 98654a.mp4, Ubicación: uploads\98654a.mp4, Tipo: automovil, Confianza: 95.28%, Fecha/Hora: 26/1/2025 10:31:51, Tiempo: 15.61 ss
