Reporte de Detección de Vehículos

ID: 88, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 81.80%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 89, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 34.51%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 90, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 37.93%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 91, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 68.49%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 92, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 34.77%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 93, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 76.79%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 94, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 69.09%, Fecha/Hora: 26/1/2025 8:39:20, Tiempo: N/As
ID: 95, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 75.10%, Fecha/Hora: 26/1/2025 8:39:21, Tiempo: N/As
ID: 96, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.53%, Fecha/Hora: 26/1/2025 8:39:21, Tiempo: N/As
ID: 97, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 82.29%, Fecha/Hora: 26/1/2025 8:39:21, Tiempo: N/As
ID: 98, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 79.78%, Fecha/Hora: 26/1/2025 8:39:21, Tiempo: N/As
ID: 99, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.54%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 100, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: furgoneta, Confianza: 71.39%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 101, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 94.21%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 102, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 66.76%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 103, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 65.78%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 104, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 71.73%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 105, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 33.41%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 106, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 93.91%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 107, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 87.13%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 108, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 85.19%, Fecha/Hora: 26/1/2025 8:39:22, Tiempo: N/As
ID: 109, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: bus, Confianza: 26.39%, Fecha/Hora: 26/1/2025 8:39:23, Tiempo: N/As
ID: 110, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 51.99%, Fecha/Hora: 26/1/2025 8:39:23, Tiempo: N/As
ID: 111, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 58.07%, Fecha/Hora: 26/1/2025 8:39:23, Tiempo: N/As
ID: 112, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 31.77%, Fecha/Hora: 26/1/2025 8:39:23, Tiempo: N/As
ID: 113, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 31.16%, Fecha/Hora: 26/1/2025 8:39:23, Tiempo: N/As
ID: 114, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.28%, Fecha/Hora: 26/1/2025 8:39:24, Tiempo: N/As
ID: 115, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 59.90%, Fecha/Hora: 26/1/2025 8:39:24, Tiempo: N/As
ID: 116, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 25.62%, Fecha/Hora: 26/1/2025 8:39:24, Tiempo: N/As
ID: 117, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.51%, Fecha/Hora: 26/1/2025 8:39:24, Tiempo: N/As
ID: 118, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 52.95%, Fecha/Hora: 26/1/2025 8:39:24, Tiempo: N/As
ID: 119, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 92.91%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 120, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 85.28%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 121, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 28.18%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 122, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 71.74%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 123, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 84.73%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 124, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 36.65%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 125, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 59.47%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 126, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 47.10%, Fecha/Hora: 26/1/2025 8:39:25, Tiempo: N/As
ID: 127, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 86.48%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 128, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 79.85%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 129, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 74.69%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 130, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 40.76%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 131, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 83.63%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 132, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 56.26%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 133, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 71.89%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 134, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 89.13%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 135, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 40.36%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 136, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 28.10%, Fecha/Hora: 26/1/2025 8:39:26, Tiempo: N/As
ID: 137, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 71.11%, Fecha/Hora: 26/1/2025 8:39:27, Tiempo: N/As
ID: 138, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 95.55%, Fecha/Hora: 26/1/2025 8:39:27, Tiempo: N/As
ID: 139, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 90.90%, Fecha/Hora: 26/1/2025 8:39:27, Tiempo: N/As
ID: 140, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 87.57%, Fecha/Hora: 26/1/2025 8:39:27, Tiempo: N/As
ID: 141, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 94.61%, Fecha/Hora: 26/1/2025 8:39:29, Tiempo: N/As
ID: 142, Nombre: trafico1.mp4, Ubicación: Sin ubicación, Tipo: automovil, Confianza: 60.62%, Fecha/Hora: 26/1/2025 8:39:29, Tiempo: N/As
