Reporte de Detección de Vehículos

ID: 72, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 26.49%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.10 ss
ID: 73, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 70.08%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.40 ss
ID: 74, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: bus, Confianza: 55.77%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.40 ss
ID: 75, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 39.08%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 15.70 ss
ID: 76, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 88.65%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 16.00 ss
ID: 77, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 25.99%, Fecha/Hora: 26/1/2025 10:19:51, Tiempo: 16.30 ss
ID: 78, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 29.00%, Fecha/Hora: 26/1/2025 10:19:52, Tiempo: 16.90 ss
ID: 79, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: furgoneta, Confianza: 25.57%, Fecha/Hora: 26/1/2025 10:19:52, Tiempo: 16.90 ss
ID: 80, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 91.08%, Fecha/Hora: 26/1/2025 10:19:52, Tiempo: 17.50 ss
ID: 81, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 87.17%, Fecha/Hora: 26/1/2025 10:19:52, Tiempo: 17.50 ss
ID: 82, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 76.26%, Fecha/Hora: 26/1/2025 10:19:52, Tiempo: 17.80 ss
ID: 83, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 95.97%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 18.10 ss
ID: 84, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 94.16%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 18.10 ss
ID: 85, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 81.80%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 18.10 ss
ID: 86, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 34.77%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 18.70 ss
ID: 87, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 69.24%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 19.00 ss
ID: 88, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 82.29%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 19.60 ss
ID: 89, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 65.38%, Fecha/Hora: 26/1/2025 10:19:53, Tiempo: 19.60 ss
ID: 90, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 89.39%, Fecha/Hora: 26/1/2025 10:19:54, Tiempo: 20.20 ss
ID: 91, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 97.35%, Fecha/Hora: 26/1/2025 10:19:54, Tiempo: 20.50 ss
ID: 92, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 91.48%, Fecha/Hora: 26/1/2025 10:19:54, Tiempo: 20.50 ss
ID: 93, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 37.76%, Fecha/Hora: 26/1/2025 10:19:54, Tiempo: 20.80 ss
ID: 94, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 94.21%, Fecha/Hora: 26/1/2025 10:19:54, Tiempo: 21.10 ss
ID: 95, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 66.76%, Fecha/Hora: 26/1/2025 10:19:54, Tiempo: 21.10 ss
ID: 96, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 87.13%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.00 ss
ID: 97, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: furgoneta, Confianza: 73.07%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.00 ss
ID: 98, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 38.54%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.00 ss
ID: 99, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 27.28%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.00 ss
ID: 100, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 84.26%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.30 ss
ID: 101, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 60.25%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.30 ss
ID: 102, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 28.38%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.30 ss
ID: 103, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 95.00%, Fecha/Hora: 26/1/2025 10:19:55, Tiempo: 22.60 ss
ID: 104, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: bus, Confianza: 26.39%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 22.90 ss
ID: 105, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 52.94%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 23.80 ss
ID: 106, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 52.93%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 23.80 ss
ID: 107, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 31.77%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 23.80 ss
ID: 108, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 95.28%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 24.10 ss
ID: 109, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 25.62%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 24.10 ss
ID: 110, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 34.28%, Fecha/Hora: 26/1/2025 10:19:56, Tiempo: 24.40 ss
ID: 111, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 75.34%, Fecha/Hora: 26/1/2025 10:19:57, Tiempo: 25.00 ss
ID: 112, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 94.98%, Fecha/Hora: 26/1/2025 10:19:57, Tiempo: 25.30 ss
ID: 113, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 52.95%, Fecha/Hora: 26/1/2025 10:19:57, Tiempo: 25.30 ss
ID: 114, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 85.28%, Fecha/Hora: 26/1/2025 10:19:57, Tiempo: 25.60 ss
ID: 115, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 28.18%, Fecha/Hora: 26/1/2025 10:19:57, Tiempo: 25.60 ss
ID: 116, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 93.21%, Fecha/Hora: 26/1/2025 10:19:57, Tiempo: 25.90 ss
ID: 117, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 36.65%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 26.50 ss
ID: 118, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 83.57%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 26.80 ss
ID: 119, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 47.10%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 26.80 ss
ID: 120, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 40.76%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 27.10 ss
ID: 121, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 70.94%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 27.40 ss
ID: 122, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 85.10%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 28.00 ss
ID: 123, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 71.89%, Fecha/Hora: 26/1/2025 10:19:58, Tiempo: 28.00 ss
ID: 124, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 93.41%, Fecha/Hora: 26/1/2025 10:19:59, Tiempo: 28.30 ss
ID: 125, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 40.36%, Fecha/Hora: 26/1/2025 10:19:59, Tiempo: 28.30 ss
ID: 126, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 28.10%, Fecha/Hora: 26/1/2025 10:19:59, Tiempo: 28.30 ss
ID: 127, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 88.64%, Fecha/Hora: 26/1/2025 10:19:59, Tiempo: 28.60 ss
ID: 128, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 71.11%, Fecha/Hora: 26/1/2025 10:19:59, Tiempo: 28.60 ss
ID: 129, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 56.67%, Fecha/Hora: 26/1/2025 10:19:59, Tiempo: 28.90 ss
ID: 130, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 90.90%, Fecha/Hora: 26/1/2025 10:20:00, Tiempo: 29.80 ss
ID: 131, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 87.57%, Fecha/Hora: 26/1/2025 10:20:00, Tiempo: 29.80 ss
ID: 132, Nombre: tjikor.mp4, Ubicación: uploads\tjikor.mp4, Tipo: automovil, Confianza: 62.79%, Fecha/Hora: 26/1/2025 10:20:00, Tiempo: 29.80 ss
