Reporte de Detección de Vehículos

ID: 9081, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.58%, Fecha/Hora: 2025-01-26T08:15:10.842624, Tiempo: 0.205872s
ID: 9082, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.58%, Fecha/Hora: 2025-01-26T08:15:10.849620, Tiempo: 0.205872s
ID: 9083, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.56%, Fecha/Hora: 2025-01-26T08:15:10.854616, Tiempo: 0.205872s
ID: 9084, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.50%, Fecha/Hora: 2025-01-26T08:15:10.861612, Tiempo: 0.205872s
ID: 9085, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.46%, Fecha/Hora: 2025-01-26T08:15:10.867608, Tiempo: 0.205872s
ID: 9086, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.45%, Fecha/Hora: 2025-01-26T08:15:10.874606, Tiempo: 0.205872s
ID: 9087, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.44%, Fecha/Hora: 2025-01-26T08:15:10.881600, Tiempo: 0.205872s
ID: 9088, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.31%, Fecha/Hora: 2025-01-26T08:15:10.887597, Tiempo: 0.205872s
ID: 9089, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:15:10.893593, Tiempo: 0.205872s
ID: 9090, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:15:10.899589, Tiempo: 0.205872s
ID: 9091, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.30%, Fecha/Hora: 2025-01-26T08:15:10.906586, Tiempo: 0.205872s
ID: 9092, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.29%, Fecha/Hora: 2025-01-26T08:15:10.911582, Tiempo: 0.205872s
ID: 9093, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.29%, Fecha/Hora: 2025-01-26T08:15:10.915579, Tiempo: 0.205872s
ID: 9094, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:15:10.919576, Tiempo: 0.205872s
ID: 9095, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:15:10.924575, Tiempo: 0.205872s
ID: 9096, Nombre: 152025.jpg, Ubicación: uploads\152025.jpg, Tipo: automovil, Confianza: 0.27%, Fecha/Hora: 2025-01-26T08:15:10.928572, Tiempo: 0.205872s
ID: 9097, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.95%, Fecha/Hora: 2025-01-26T08:17:33.627714, Tiempo: 0.0s
ID: 9098, Nombre: lliooooook.mp4, Ubicación: uploads\lliooooook.mp4, Tipo: automovil, Confianza: 0.92%, Fecha/Hora: 2025-01-26T08:17:33.628713, Tiempo: 0.0s
